topic,Characteristic,,35300063,35300065,35300066,35300070,35300087,35300110,35300120,35300121,35300122,35300130,35300131,35300132,35300134,35300136,35300298,35300344,35300347,35300348,35300349,35300357,35300358,35300361,35300363,35300364,35300365,35300366,35300378,35300381,35300396,35300397,35300440,35300454,35300455,35300456,35300589,35300708,35300728,35300842,35300844,35300947
Age characteristics,Total - Age groups of the population - 100% data,,560,620,1820,900,1605,590,785,540,1085,390,550,1850,540,760,2340,1050,515,430,530,620,575,485,560,500,625,670,610,1160,1420,495,620,640,435,555,970,4055,1600,395,555,335
Age characteristics,0 to 14 years,,85,95,40,20,195,60,75,50,90,50,65,95,60,85,70,200,75,40,70,65,60,70,90,90,85,100,55,50,120,30,90,90,65,90,105,660,120,20,50,50
Age characteristics,0 to 4 years,,20,40,15,5,65,25,35,10,35,25,20,30,15,35,35,85,25,10,30,20,25,25,30,40,20,35,20,25,60,15,35,35,30,55,25,225,55,5,15,10
Age characteristics,5 to 9 years,,30,25,5,10,70,15,20,15,35,20,30,25,20,25,25,65,15,15,20,20,20,20,20,25,35,35,15,15,35,10,25,30,25,20,35,220,40,10,15,15
Age characteristics,10 to 14 years,,30,30,15,10,65,25,20,20,25,5,20,35,30,25,15,50,35,15,15,20,15,30,35,20,30,30,15,15,25,5,30,20,20,15,50,210,25,5,20,20
Age characteristics,15 to 64 years,,415,430,1750,790,970,435,645,385,765,290,375,1205,420,605,2230,750,355,315,370,375,290,355,405,365,415,505,495,1060,1125,360,410,460,280,380,670,2660,1350,320,440,235
Age characteristics,15 to 19 years,,30,45,175,70,85,10,35,10,35,10,5,50,15,25,210,45,35,20,20,15,10,20,30,25,30,25,25,10,20,15,40,25,20,15,55,200,95,15,15,15
Age characteristics,20 to 24 years,,45,85,920,365,80,45,135,60,85,30,20,150,40,50,1095,95,35,30,30,30,35,20,40,25,40,50,40,135,125,40,35,40,45,25,40,340,415,15,55,20
Age characteristics,25 to 29 years,,65,80,400,185,105,100,115,85,140,55,75,285,75,145,545,120,55,60,50,45,60,45,35,45,75,90,95,305,270,50,60,75,25,80,85,505,390,75,100,35
